		
Introduction	Seg=B-seg	Seg=B-seg
Research	Seg=B-seg	Seg=B-seg
on	Seg=O	Seg=O
adult	Seg=O	Seg=O
-0	Seg=O	Seg=O
learned	Seg=O	Seg=O
second	Seg=O	Seg=O
language	Seg=O	Seg=O
(	Seg=B-seg	Seg=B-seg
L2	Seg=O	Seg=O
)	Seg=O	Seg=O
has	Seg=B-seg	Seg=B-seg
provided	Seg=O	Seg=O
considerable	Seg=O	Seg=O
insight	Seg=O	Seg=O
into	Seg=O	Seg=O
the	Seg=O	Seg=O
neurocognitive	Seg=O	Seg=O
mechanisms	Seg=O	Seg=O
underlying	Seg=B-seg	Seg=O
the	Seg=O	Seg=O
learning	Seg=O	Seg=O
and	Seg=O	Seg=O
processing	Seg=O	Seg=O
of	Seg=O	Seg=O
L2	Seg=O	Seg=O
grammar	Seg=O	Seg=O
[	Seg=B-seg	Seg=B-seg
1	Seg=O	Seg=O
]	Seg=O	Seg=O
–	Seg=O	Seg=O
[	Seg=O	Seg=O
11	Seg=O	Seg=O
]	Seg=O	Seg=B-seg
.	Seg=O	Seg=O
Of	Seg=B-seg	Seg=O
interest	Seg=O	Seg=O
here	Seg=O	Seg=B-seg
0	Seg=O	Seg=O
studies	Seg=O	Seg=O
suggest	Seg=O	Seg=B-seg
that	Seg=B-seg	Seg=O
0	Seg=O	Seg=O
despite	Seg=B-seg	Seg=O
the	Seg=O	Seg=O
difficulties	Seg=O	Seg=O
in	Seg=B-seg	Seg=O
acquiring	Seg=O	Seg=O
L2	Seg=O	Seg=O
grammar	Seg=O	Seg=B-seg
0	Seg=O	Seg=O
adult	Seg=B-seg	Seg=O
learners	Seg=O	Seg=O
can	Seg=O	Seg=O
approximate	Seg=O	Seg=O
native	Seg=O	Seg=O
-0	Seg=O	Seg=O
like	Seg=O	Seg=O
levels	Seg=O	Seg=O
of	Seg=O	Seg=O
use	Seg=O	Seg=O
and	Seg=O	Seg=O
neurocognitive	Seg=O	Seg=O
processing	Seg=O	Seg=O
[	Seg=B-seg	Seg=B-seg
12	Seg=O	Seg=O
]	Seg=O	Seg=O
–	Seg=O	Seg=O
[	Seg=O	Seg=B-seg
15	Seg=O	Seg=O
]	Seg=O	Seg=O
.	Seg=O	Seg=O
However	Seg=B-seg	Seg=O
0	Seg=O	Seg=O
it	Seg=O	Seg=O
is	Seg=O	Seg=O
not	Seg=O	Seg=O
enough	Seg=O	Seg=O
to	Seg=O	Seg=O
have	Seg=O	Seg=O
attained	Seg=O	Seg=O
such	Seg=O	Seg=O
native	Seg=O	Seg=O
-0	Seg=O	Seg=B-seg
like	Seg=O	Seg=O
levels	Seg=O	Seg=O
.	Seg=O	Seg=O
Crucially	Seg=B-seg	Seg=O
0	Seg=O	Seg=O
it	Seg=O	Seg=O
is	Seg=O	Seg=O
also	Seg=O	Seg=O
desirable	Seg=O	Seg=O
to	Seg=O	Seg=O
retain	Seg=O	Seg=O
them	Seg=O	Seg=O
0	Seg=O	Seg=O
even	Seg=O	Seg=O
in	Seg=O	Seg=O
the	Seg=O	Seg=O
absence	Seg=O	Seg=O
of	Seg=O	Seg=O
continued	Seg=O	Seg=O
practice	Seg=O	Seg=O
or	Seg=O	Seg=O
exposure	Seg=O	Seg=B-seg
to	Seg=O	Seg=O
the	Seg=O	Seg=O
L2	Seg=O	Seg=B-seg
.	Seg=O	Seg=O
In	Seg=B-seg	Seg=B-seg
fact	Seg=O	Seg=O
0	Seg=O	Seg=O
substantial	Seg=O	Seg=O
periods	Seg=O	Seg=O
(	Seg=B-seg	Seg=O
months	Seg=O	Seg=O
to	Seg=O	Seg=O
years	Seg=O	Seg=O
)	Seg=O	Seg=O
of	Seg=B-seg	Seg=O
limited	Seg=O	Seg=O
or	Seg=O	Seg=O
no	Seg=O	Seg=O
exposure	Seg=O	Seg=O
following	Seg=B-seg	Seg=O
L2	Seg=O	Seg=O
training	Seg=O	Seg=O
are	Seg=B-seg	Seg=O
not	Seg=O	Seg=O
uncommon	Seg=O	Seg=O
0	Seg=O	Seg=O
and	Seg=B-seg	Seg=O
may	Seg=O	Seg=B-seg
even	Seg=O	Seg=O
be	Seg=O	Seg=O
the	Seg=O	Seg=B-seg
norm	Seg=O	Seg=O
[	Seg=B-seg	Seg=O
16	Seg=O	Seg=O
]	Seg=O	Seg=O
.	Seg=O	Seg=O
Such	Seg=B-seg	Seg=O
a	Seg=O	Seg=O
scenario	Seg=O	Seg=O
may	Seg=O	Seg=O
be	Seg=O	Seg=O
found	Seg=O	Seg=B-seg
in	Seg=O	Seg=B-seg
different	Seg=O	Seg=O
situations	Seg=O	Seg=O
0	Seg=O	Seg=O
including	Seg=B-seg	Seg=O
when	Seg=O	Seg=O
one	Seg=O	Seg=O
studies	Seg=O	Seg=O
a	Seg=O	Seg=B-seg
language	Seg=O	Seg=O
in	Seg=O	Seg=O
a	Seg=O	Seg=O
classroom	Seg=O	Seg=B-seg
and	Seg=B-seg	Seg=O
then	Seg=O	Seg=O
stops	Seg=O	Seg=B-seg
taking	Seg=O	Seg=O
classes	Seg=O	Seg=O
[	Seg=B-seg	Seg=O
17	Seg=O	Seg=O
]	Seg=O	Seg=B-seg
0	Seg=O	Seg=O
