Introduction	Seg=B-seg
Research	Seg=B-seg
on	Seg=O
adult	Seg=O
-0	Seg=O
learned	Seg=O
second	Seg=O
language	Seg=O
(	Seg=B-seg
L2	Seg=O
)	Seg=O
has	Seg=O
provided	Seg=O
considerable	Seg=O
insight	Seg=O
into	Seg=O
the	Seg=O
neurocognitive	Seg=O
mechanisms	Seg=O
underlying	Seg=B-seg
the	Seg=O
learning	Seg=O
and	Seg=O
processing	Seg=O
of	Seg=O
L2	Seg=O
grammar	Seg=O
[	Seg=B-seg
1	Seg=O
]–	Seg=O
[	Seg=O
11	Seg=O
].	Seg=O
Of	Seg=B-seg
interest	Seg=O
here	Seg=O
0	Seg=O
studies	Seg=O
suggest	Seg=O
that	Seg=O
0	Seg=B-seg
despite	Seg=O
the	Seg=O
difficulties	Seg=O
in	Seg=O
acquiring	Seg=B-seg
L2	Seg=O
grammar	Seg=O
0	Seg=O
adult	Seg=O
learners	Seg=O
can	Seg=O
approximate	Seg=O
native	Seg=O
-0	Seg=O
like	Seg=O
levels	Seg=O
of	Seg=O
use	Seg=O
and	Seg=O
neurocognitive	Seg=O
processing	Seg=O
[	Seg=O
12	Seg=O
]–	Seg=B-seg
[	Seg=O
15	Seg=O
].	Seg=O
However	Seg=B-seg
0	Seg=O
it	Seg=O
is	Seg=O
not	Seg=O
enough	Seg=O
to	Seg=O
have	Seg=O
attained	Seg=O
such	Seg=O
native	Seg=O
-0	Seg=O
like	Seg=O
levels	Seg=O
.	Seg=O
Crucially	Seg=B-seg
0	Seg=O
it	Seg=O
is	Seg=O
also	Seg=O
desirable	Seg=O
to	Seg=O
retain	Seg=O
them	Seg=O
0	Seg=O
even	Seg=O
in	Seg=O
the	Seg=O
absence	Seg=O
of	Seg=O
continued	Seg=O
practice	Seg=O
or	Seg=O
exposure	Seg=O
to	Seg=O
the	Seg=O
L2.	Seg=O
In	Seg=B-seg
fact	Seg=O
0	Seg=O
substantial	Seg=O
periods	Seg=O
(	Seg=B-seg
months	Seg=O
to	Seg=O
years	Seg=O
)	Seg=O
of	Seg=O
limited	Seg=O
or	Seg=O
no	Seg=O
exposure	Seg=O
following	Seg=O
L2	Seg=O
training	Seg=O
are	Seg=O
not	Seg=O
uncommon	Seg=O
0	Seg=O
and	Seg=O
may	Seg=O
even	Seg=O
be	Seg=O
the	Seg=O
norm	Seg=O
[	Seg=B-seg
16	Seg=O
].	Seg=O
Such	Seg=B-seg
a	Seg=O
scenario	Seg=O
may	Seg=O
be	Seg=O
found	Seg=O
in	Seg=O
different	Seg=O
situations	Seg=O
0	Seg=O
including	Seg=O
when	Seg=B-seg
one	Seg=O
studies	Seg=O
a	Seg=O
language	Seg=O
in	Seg=O
a	Seg=O
classroom	Seg=O
and	Seg=O
then	Seg=B-seg
stops	Seg=O
taking	Seg=O
classes	Seg=O
[	Seg=B-seg
17	Seg=O
]	Seg=O
0	Seg=B-seg
[	Seg=O
18	Seg=O
]	Seg=O
and	Seg=O
when	Seg=B-seg
one	Seg=O
is	Seg=O
immersed	Seg=O
in	Seg=O
a	Seg=O
foreign	Seg=O
language	Seg=O
setting	Seg=O
and	Seg=O
then	Seg=B-seg
moves	Seg=O
away	Seg=O
[	Seg=B-seg
19	Seg=O
].	Seg=O
In	Seg=B-seg
the	Seg=O
present	Seg=O
study	Seg=O
0	Seg=O
we	Seg=O
examine	Seg=O
the	Seg=O
outcomes	Seg=O
of	Seg=O
such	Seg=O
a	Seg=O
period	Seg=O
of	Seg=O
no	Seg=O
exposure	Seg=O
on	Seg=O
the	Seg=O
neurocognition	Seg=O
of	Seg=O
L2	Seg=O
grammar	Seg=O
:	Seg=O
that	Seg=O
is	Seg=B-seg
0	Seg=O
whether	Seg=O
a	Seg=O
substantial	Seg=O
period	Seg=O
of	Seg=O
no	Seg=O
exposure	Seg=O
leads	Seg=O
to	Seg=O
decreased	Seg=O
proficiency	Seg=O
and	Seg=O
/	Seg=O
or	Seg=O
less	Seg=O
native	Seg=O
-0	Seg=O
like	Seg=O
neural	Seg=O
processes	Seg=O
(	Seg=O
“	Seg=O
use	Seg=O
it	Seg=O
or	Seg=O
lose	Seg=B-seg
it	Seg=O
”	Seg=O
[	Seg=O
20	Seg=B-seg
]	Seg=O
)	Seg=O
0	Seg=O
no	Seg=O
such	Seg=O
changes	Seg=O
0	Seg=O
or	Seg=O
perhaps	Seg=B-seg
whether	Seg=O
even	Seg=O
higher	Seg=O
proficiency	Seg=O
and	Seg=O
/	Seg=O
or	Seg=O
more	Seg=O
native	Seg=O
-0	Seg=O
like	Seg=O
processing	Seg=O
may	Seg=O
be	Seg=O
observed	Seg=O
.	Seg=O
Additionally	Seg=B-seg
0	Seg=O
we	Seg=O
test	Seg=O
whether	Seg=O
any	Seg=B-seg
such	Seg=O
outcomes	Seg=O
might	Seg=O
vary	Seg=O
as	Seg=O
a	Seg=O
function	Seg=O
of	Seg=O
the	Seg=O
type	Seg=O
of	Seg=O
L2	Seg=O
training	Seg=O
0	Seg=O
in	Seg=O
particular	Seg=O
between	Seg=O
classroom	Seg=O
-0	Seg=O
like	Seg=O
and	Seg=O
immersion	Seg=O
-0	Seg=O
like	Seg=O
contexts	Seg=O
.	Seg=O
